Date,Currency,M1,M2,M3,DAX,DAX/Currency,DAX/M1,DAX/M2,DAX/M3
2/28/02,243840,2248416,4650397,5431456,5039,"20,666","2,241","1,084",928
3/31/02,253514,2238965,4662027,5453968,5397,"21,290","2,411","1,158",990
4/30/02,263216,2273547,4697507,5482865,5041,"19,152","2,217","1,073",919
5/31/02,273249,2293570,4719009,5523451,4818,"17,633","2,101","1,021",872
6/30/02,283005,2304238,4735880,5539079,4383,"15,486","1,902",925,791
7/31/02,293161,2323079,4761547,5568190,3700,"12,622","1,593",777,665
8/31/02,300475,2340395,4785365,5606774,3713,"12,357","1,586",776,662
9/30/02,307939,2369110,4821013,5660669,2769,"8,992","1,169",574,489
10/31/02,315180,2380902,4847022,5680917,3153,"10,003","1,324",650,555
11/30/02,321594,2417288,4890882,5733178,3320,"10,325","1,374",679,579
12/31/02,334339,2442884,4915147,5767431,2893,"8,652","1,184",589,502
1/31/03,315310,2454715,4922129,5809186,2748,"8,715","1,119",558,473
2/28/03,323396,2481185,4968610,5857436,2547,"7,876","1,027",513,435
3/31/03,330370,2499997,5000011,5880069,2424,"7,337",970,485,412
4/30/03,337685,2531994,5048210,5957074,2942,"8,712","1,162",583,494
5/31/03,343303,2549757,5088934,5983094,2983,"8,688","1,170",586,499
6/30/03,348939,2558373,5096544,5990357,3221,"9,230","1,259",632,538
7/31/03,355944,2576935,5123636,6028830,3488,"9,799","1,353",681,579
8/31/03,362472,2607442,5160933,6054734,3485,"9,613","1,336",675,576
9/30/03,366636,2623849,5167505,6057142,3257,"8,883","1,241",630,538
10/31/03,372598,2655345,5200531,6110399,3656,"9,812","1,377",703,598
11/30/03,380184,2663643,5217471,6134302,3746,"9,853","1,406",718,611
12/31/03,389637,2681722,5238327,6148767,3965,"10,177","1,479",757,645
1/31/04,392689,2704804,5259980,6165335,4059,"10,335","1,501",772,658
2/29/04,398055,2722810,5281581,6201786,4018,"10,094","1,476",761,648
3/31/04,404025,2760683,5316424,6232560,3857,"9,546","1,397",725,619
4/30/04,409713,2776949,5341144,6260857,3985,"9,727","1,435",746,637
5/31/04,416557,2774765,5355734,6265034,3921,"9,414","1,413",732,626
6/30/04,421578,2796512,5385279,6315025,4053,"9,613","1,449",753,642
7/31/04,429126,2820299,5421035,6354328,3896,"9,078","1,381",719,613
8/31/04,434388,2834917,5438154,6375262,3785,"8,714","1,335",696,594
9/30/04,439851,2868123,5484081,6417367,3893,"8,850","1,357",710,607
10/31/04,445854,2888055,5518152,6461295,3960,"8,882","1,371",718,613
11/30/04,451289,2913177,5542737,6484681,4126,"9,143","1,416",744,636
12/31/04,457793,2905953,5573540,6540370,4256,"9,297","1,465",764,651
1/31/05,464278,2963795,5623288,6573488,4255,"9,164","1,436",757,647
2/28/05,469064,2990384,5653315,6608114,4350,"9,275","1,455",770,658
3/31/05,475726,3006328,5679341,6628904,4349,"9,141","1,447",766,656
4/30/05,481174,3024122,5721454,6682171,4185,"8,697","1,384",731,626
5/31/05,486778,3054725,5762299,6731012,4461,"9,164","1,460",774,663
6/30/05,493953,3256960,5824959,6807158,4586,"9,285","1,408",787,674
7/31/05,498261,3302577,5885266,6876098,4887,"9,807","1,480",830,711
8/31/05,502105,3323473,5914509,6910851,4830,"9,619","1,453",817,699
9/30/05,508701,3343523,5980748,6972348,5044,"9,916","1,509",843,723
10/31/05,512486,3370621,6001860,6991045,4929,"9,618","1,462",821,705
11/30/05,517649,3390768,6027064,7026011,5193,"10,033","1,532",862,739
12/31/05,520831,3422279,6093186,7087688,5408,"10,384","1,580",888,763
1/31/06,526589,3445371,6124570,7120559,5674,"10,775","1,647",926,797
2/28/06,531602,3470031,6175649,7170882,5796,"10,903","1,670",939,808
3/31/06,535629,3489442,6222149,7221902,5970,"11,146","1,711",959,827
4/30/06,539910,3523343,6295495,7303181,6010,"11,131","1,706",955,823
5/31/06,545009,3553540,6317503,7347101,5693,"10,445","1,602",901,775
6/30/06,550449,3560905,6363553,7384631,5683,"10,325","1,596",893,770
7/31/06,554690,3554322,6369246,7403368,5682,"10,244","1,599",892,767
8/31/06,559285,3565013,6406721,7475572,5860,"10,477","1,644",915,784
9/30/06,564879,3590868,6486139,7573385,6004,"10,629","1,672",926,793
10/31/06,570402,3589937,6500180,7598494,6269,"10,990","1,746",964,825
